,Pt1-OnTx,Pt1-baseline,Pt2-OnTx,Pt2-baseline,Pt3-OnTx,Pt3-baseline,Pt4-OnTx,Pt4-baseline,Pt5-OnTx,Pt5-baseline
LOC284080,0.0307063,0.034304,0.1059766,0.0255116,0.06540195,0.161287,0.1502895,0.180352,0.0330297,0.0501824
LOC284294,0,0,0,0.0224808,0,0,0,0,0,0
LOC284344,3.77115,6.879525,0.8114925,2.746,0,0.02334655,0,0,0.04870335,0.01964935
LOC284379,0,0,0,0,0,0,0,0,0,0.0171235
LOC284395,0.00955195,0,0,0,0,0,0.0148211,0.02214005,0.0064927,0
LOC284412,0.396096,0.164617,1.9863,0.3012015,1.042577,0.8678785,0.683724,0.22165,0.520632,1.92905
LOC284454,19.80375,2.39778,17.41085,11.1614,6.251385,11.56745,10.15745,12.6789,3.52088,7.22936
LOC284578,0,0,0.02840785,0,0.01919805,0.00894995,0,0.0215813,0.0171177,0
LOC284581,0.0197726,0,0.02433965,0.0198367,0.9804365,1.200475,0.11251555,0.61333,1.404455,5.12036
LOC284632,0.03592165,0,0,0,0,0.0073768,0.05031785,0.03483675,0,0
LOC284648,0.0391455,0.0107807,0.2901885,0.582628,0.126767,0.2179365,0.03042735,0.306714,0.368857,0.573302
LOC284661,0,0.0075619,0.2622755,0.10409555,0.0057564,0,0.03139505,0,0,0
LOC284757,0.00664705,0.119877,0.01802055,0.04332425,0.6235635,0.683629,0.1463525,0.1743395,0.0342105,0.0644208
LOC284788,0,0,0,0,0,0,0,0,0,0
LOC284798,0,0,0,0,0.003581225,0.0159245,0.0084025,0,0,0
LOC284801,0,0,0,0,0.0462861,0.07350445,0.833307,0,0.032271,0.0155504
LOC284837,0.05266205,0.0165158,0.3029385,1.26737,0.3823665,0.140123,0.128902,0.05593405,0.3084275,1.34782
LOC284865,0,0,0,0,0.0093422,0.02427,0.02568865,0.0061752,0.03614165,0
LOC284889,0.259624,0.330429,1.689505,2.514815,185.807,158.4125,98.92825,14.36695,1.045044,0.8712285
LOC284933,0,0,0,0,0.0169053,0.0191675,0.0153822,0,0,0
LOC284950,0,0,0.00682605,0,0.02226136,0.01176335,0,0.0390529,0.03069495,0.01621865
LOC285000,0.0103982,0.1862495,5.35393,6.92378,0.2993685,0.08174295,14.91235,9.94941,7.46479,7.985475
LOC285074,2.464505,2.18833,0.7511495,0.8474775,5.658585,7.47475,4.52798,1.21042,1.120995,0.8411275
LOC285484,0.01879295,0,0.02894875,0.0404712,0.05343775,0.00990405,0.01600985,0,0,0
LOC285593,0.0575813,0.087745,0.02923685,0.02382095,0.02758825,0.0870716,0.01114095,0.010758,0.01883115,0.0500616
LOC285626,0,0,0.04832875,0.0144719,0.04328875,0.00889345,0,0,0.0221991,0.0245592
LOC285627,0,0,0,0,0,0,0,0,0,0
LOC285629,0,0.00624265,0,0,0,0.00569455,0.0094203,0.01338145,0.0305574,0
LOC285692,0,0,0,0,0,0,0.03398735,0,0,0
LOC285696,0.00425339,0.01422815,0.0408445,0.0365203,0.003774655,0.01720315,0.01336645,0.03378725,0.01724685,0.0247889
LOC285740,0,0,0,0,0,0,0,0,0,0
LOC285762,0,0,0,0.00541015,0,0,0,0,0,0
LOC285768,0.061033,0.6624635,0.0519223,0.04850415,0,0.0133203,0,0.0094523,0.01605555,0.01665775
LOC285819,0.1903115,0.1681935,0.09040855,0.07116855,0.014475015,0.034893,0.0978974,0.12476495,0.04933825,0.05543245
LOC285847,0,0,0.0110348,0.02999265,0.0067165,0.0516877,0,0.01190705,0,0
LOC285889,0,0.00642915,0,0.00733155,0,0,0,0,0,0.0128332
LOC286059,0,0,0.123653,0.149479,0.0479845,0.0197084,0.0084301,0.05835555,0.0342321,0.0250696
LOC286083,0.00376204,0,0.0057492,0,0,0,0,0,0,0
LOC286094,0,0,0,0,0,0,0,0.0172981,0,0
LOC286114,0,0,0.01130915,0,0,0,0,0,0,0
LOC286177,0,0,0,0,0,0,0.00763795,0,0,0
LOC286189,0,0,0,0,0,0,0,0,0,0
LOC286190,0,0,0.02101645,0.00467258,0.197389,0.2710615,0.298887,0.022498785,0,0.004157525
LOC286238,0,0.0251054,0,0,0,0,0,0,0,0
LOC286297,0,0,0,0,0.0052882,0.042916,0.162598,0,0,0.01579145
LOC286359,0,0,0,0,0,0,0.00988695,0,0,0
LOC286367,0.1129885,0.00702315,0.592155,0.402784,1.536255,1.67851,0.242102,0.4724535,0.1454385,0.4256915
LOC286370,0,0.0056068,0,0,0,0,0,0,0,0
LOC286437,1.817605,0.810217,1.111795,0.5217815,1.29184,1.886515,2.157815,1.263715,0.5668375,0.615872
LOC338694,0,0,0.0409906,0,0,0,0,0,0,0.0477385
LOC338797,0,0,0.0504109,0.03103775,0,0.0199862,0.0113472,0,0.00983625,0
LOC338963,0,0,0.0141678,0.0203864,0,0,0.01537325,0.01531795,0,0
LOC339059,0.0050018,0,0,0.0597381,0,0.01064805,0,0.00713235,0.00878215,0.0846482
LOC339166,0,0.01678565,0,0.01571405,0,0.0154201,0,0,0,0
LOC339240,0,0,0,0,0.00684236,0.015975345,0.00630935,0,0.0053983,0.0126541
LOC339298,0.004248805,0.00926175,0,0,0,0.004127765,0,0,0,0
LOC339529,0,0,0.01708235,0.0216433,0.00563895,0,0,0.01989085,0.0174688,0.01826315
LOC339539,0,0,0,0.0141464,0.010272,0,0.0365728,0.01595615,0.0166201,0
LOC339568,0,0,0,0,0,0,0,0,0,0
LOC339593,0,0,0.00743185,0.0567465,0,0,0,0,0,0
LOC339622,0.00749585,0.0085237,0,0,0,0,0,0,0,0
LOC339666,0.0408475,0.0270162,0.04521745,0.07453165,0.05161625,0.2855975,0.10716545,0.07430835,0.02280875,0.0124312
LOC339803,6.154275,5.734215,2.915625,2.456705,4.57042,4.937845,5.23032,4.95106,2.939795,2.158035
LOC339807,0,0,0,0.0141039,0,0,0,0.0086587,0.0103452,0
LOC339862,0,0.0083609,0.01630155,0.015194,0.0211948,0.0846276,0.3738245,0.1294375,0,0
LOC339874,0.0264274,0,0.0397296,0.0091037,0.01283455,0.0343267,0,0.00849155,0.00900685,0
LOC339975,1.09102,0.6692275,0.1701975,0.20412,0,0.00337272,0.0132341,0.0050712,0.0802512,0.02417035
LOC340017,0,0,0,0,0.0095487,0,0,0,0,0
LOC340074,0,0,0,0.01131765,0,0.0143425,0,0,0,0
LOC340107,0,0,0,0,0,0,0,0,0,0
LOC340113,0,0,0,0,0,0,0,0,0,0
LOC340357,4.251045,3.67692,3.970515,7.437055,0.02143825,0.02440575,0.204646,0.06233985,1.95352,6.2645
LOC340515,0.02449195,0,0.261512,0.12210635,0,0,0,0,0.0463062,0.02649915
LOC341056,0.067214,0.051734,0.0280183,0,0.0373001,0.0600099,0,0.04173405,0.0582105,0.0281891
LOC344887,0.806125,0.370577,0.342973,0.1768095,0.5685345,0.5995115,0.09670545,0.3468215,0.11843405,0.396167
LOC344967,0.05318025,0.03257985,0.0396228,0,0,0.0314071,0.1105893,0.0940486,0.0868659,0.1411055
LOC349160,0.0980106,0.0279911,0,0,0,0.01181035,0,0,0,0.01067655
LOC374443,53.8463,10.3973,2.81039,5.62639,1.53577,3.41938,9.99978,5.33123,3.62096,3.728165
LOC375196,0.06893155,0.0368545,0.4137505,0.217908,0.2872455,0.147289,0.187802,0.3387575,0.9827195,0.6818965
LOC387810,0,0.00543535,0,0,0,0,0,0,0,0
LOC388242,0,0.00923075,0.01491535,0.02464305,0.02664575,0.00911165,0.06548755,0.0965321,0.127502,0.060382
LOC388282,0,0,0,0,0,0.00893835,0,0,0,0
LOC388436,0,0,0,0,0,0,0,0,0,0
LOC388553,0.0086144,0.03711275,0.0424222,0.02516105,0.01860615,0.01727085,0,0,0,0
LOC388692,0.9157255,0.939179,1.205246,0.585097,2.16647,2.329245,0.4242585,1.242955,1.0042495,1.44894
LOC388780,0.01891155,0.03979075,8.686975,13.50755,5.45473,3.38671,0.140489,0.077189,0.4006665,1.631
LOC388813,0.01150155,0,0.0367078,0,0,0,0,0.04529685,0,0.00967475
LOC388849,0.0620947,0.02239155,0.393492,0.215611,4.91017,5.41032,1.642785,2.507195,0.849196,0.587268
LOC388882,0,0,0,0,0.04361975,0.08450945,0,0,0,0
LOC388942,0,0,0.0090802,0,0,0,0,0,0,0
LOC389033,0,0,0.5705325,0.1212685,0.3008115,0.494535,0,0,0.6281215,0
LOC389247,0.0542619,0.11581155,0.1683328,0.2508505,0.15846,0.2286455,0.076533,0.2244735,0.16298795,0.17425705
LOC389332,0,0,0,0,0.00965285,0.01052895,0,0,0.03026825,0
LOC389602,0,0,0,0,0,0.03516105,0.065107,0.675806,0,0
LOC389641,0.141928,0.02114765,0.6889305,0.688991,1.910675,1.561415,0.0820142,0.1753565,0.8412475,1.669385
LOC389705,0.0245104,0,0.200906,0.1932995,0.3512705,0.4030265,0.246131,0.144424,0.235929,0.301168
LOC389765,0.828978,0.673636,0.9077825,0.6457245,0.6480665,0.6569315,0.502347,0.3634,0.4202645,0.50226
LOC389831,0,0,0,0,0,0,0,0,0,0
LOC389834,0,0,0,0,0,0,0,0,0,0
LOC389895,0,0,0,0,0.2412175,0,0,0,0.5025455,0.5638955
LOC389906,2.79524,2.484395,0.1808795,0.2973315,3.46263,3.47868,0.1996009,0.4105565,2.0383,1.703595
LOC390705,0,0,0,0,0,0,0,0,0,0
LOC391003,0,0,0,0,0,0,0,0,0,0
LOC391322,0.0362317,0.0386008,3.18316,4.70014,1.44573,1.1261295,0.9151085,1.099745,0.287344,0.269079
LOC392196,0,0.0113944,0,0,0,0,0,0.01115775,0,0
LOC392232,0.0893952,0,0.01353425,0.01253465,0.4248245,0.5657765,0.503304,0.3657345,0.0305614,0.0222179
LOC392364,0.0233355,0,0.01774765,0.1133184,0,0,0,0,0,0
LOC392452,0,0.0336686,0,0,0,0.02811975,0.1382129,0.02939875,0,0
LOC399715,0.10055135,0.02398,0.08284985,0.0803616,0,0.0374067,0.01547685,0.06499685,0.0131759,0.0683537
LOC399815,0.0175109,0.13719995,0.365406,0.6904175,0.172724,0.1393615,0.1785285,0.352952,0.0088892,0.0242213
LOC400043,6.64484,10.017715,9.963675,10.312025,12.2437,7.29726,0.878251,2.940985,8.63823,14.73785
LOC400548,0.0133755,0.01494165,0.06463875,0.0445818,0.03478195,0.0067333,0.0430028,0,0.02593995,0.10542505
LOC400553,0,0,0,0,0,0,0,0,0.083269,0.3150795
LOC400558,0,0,0,0,0,0,0.08794715,0.01713015,0,0
LOC400620,0,0,0,0,0,0,0,0,0,0
LOC400644,98.19755,97.9204,8.700355,16.95745,0.0259689,0.256123,0.764936,0.0870933,3.45933,5.06722
LOC400654,0,0,0,0,0,0,0,0,0,0
LOC400655,2.77853,3.071595,0.336639,0.442991,0.0045187,0,0,0,0,0.0197443
LOC400684,0.422546,0.791953,0.771868,0.8886885,0.644997,0.613757,0.220645,0.43596,0.2790385,0.342387
LOC400685,0,0.0147,0.0346354,0.01043785,0,0.00643085,0.02024055,0.07635335,0.101508,0.03485175
LOC400736,0,0,0,0,0,0,0,0,0,0
LOC400794,0.02425125,0.08087285,0.04580675,0.08602265,0.02783105,0.03242495,2.61209,1.36937,0.02131185,0.04823345
LOC400863,0.068031,0.1561897,0.241976,0.212923,0.0368583,0.373395,0.04383065,0.01048095,0.0273987,0.00937955
LOC400867,0,0,0.01661912,0,0,0.00338982,0,0,0,0
LOC400891,0,0,0.015086175,0.0319525,0.01870155,0.01463847,0.00373277,0.0208046,0,0.0066998
LOC400927,6.86383,5.14751,2.075345,0.895193,2.82511,4.999425,2.113055,1.60353,1.75337,2.25385
LOC400940,0,0,0,0,0.010250195,0.0264843,0.00619005,0.004470375,0.00510305,0
LOC400958,0,0,0,0.0065744,0,0,0,0,0.005329,0
LOC401010,0.07233055,0.0298848,1.060495,0.78876,0.2714815,0.403594,0.04778815,0.1130396,0.06899885,0.09229855
LOC401052,0.867201,0.885419,1.028089,1.37301,1.160325,1.75645,0.3251735,1.239905,0.8044965,1.87616
LOC401127,0.120664,0.0280192,0.1235761,0.0597172,0.0573922,0.05993615,0.06601655,0.0490434,0.11035565,0.1016138
LOC401134,0,0,0.00424013,0,0,0,0,0,0,0
LOC401177,0,0,0,0,0,0,0,0,0,0
LOC401242,0.0062759,0,0.0455386,0.02951645,0,0,0.008431,0,0.0267711,0
LOC401286,0,0.002908315,0.008344075,0.03511795,0,0.011158,0.0136628,0.01255886,0.02357865,0
LOC401320,1.63867,0.626427,3.446135,2.33124,1.305765,2.003715,0.707873,0.969113,0.4873475,1.498695
LOC401324,0,0,0,0,0,0,0,0,0,0
LOC401463,0.01320705,0,0.0331615,0.04786935,0.02613855,0.0199643,0.0271885,0.136367,0.0927883,0.0352555
LOC401557,0,0,0,0,0,0,0,0,0,0
LOC402160,0.00502495,0.0777386,0,0.01515605,0.0250013,0.0102306,0,0.0092423,0.01718185,0.03796355
LOC407835,0.0778063,0.160663,0.2322845,0.1512128,0.11060425,0.08017995,0.10549725,0.05326835,0.2174328,0.1074495
LOC439994,6.14905,6.91173,6.92458,5.974955,8.104755,5.642765,7.035955,7.995135,8.041405,6.836035
LOC440028,0.6663415,0.780718,0.1507155,0.204026,0.3540435,0.4434,0.133214,0.418008,0.121902,0.10427995
LOC440040,0,0,0.00864785,0,0,0,0,0,0,0.0084785
LOC440117,0,0,0,0,0,0,0,0,0,0
LOC440173,0.04531735,0.0409335,0.0922324,0.0099007,0.1980675,0.288512,0.14450065,0.0346537,0,0.0174481
LOC440300,0.168911,0.06379465,0.3344125,0.283381,0.7104575,0.826797,3.700325,5.006205,0.07554875,0.2578855
LOC440311,1.37715,0.429127,0.385903,0.24927365,0.193941,0.10451275,0.1070337,0.14117845,0.3280595,0.169205
LOC440416,0,0,0,0.00636905,0.02970275,0.05406935,0.00749435,0.01958815,0.0059513,0
LOC440434,11.3031,13.3812,5.825335,5.006635,13.27355,16.43445,8.748255,4.801055,5.88105,6.49352
LOC440461,0.053487,0,0.189822,0,0.0103609,0.0578453,0.0362796,0.146317,0.17214425,0.0897845
LOC440600,0.0695162,0.10403185,0.02246745,0.06275955,0.07061165,0.06992365,0.02702775,0.03863015,0.08195375,0.12855855
LOC440602,0,0,0,0,0,0,0,0,0,0
LOC440700,0.2829325,0.404387,0.2208685,0.40681,0.0442947,0.04997435,0.04108745,0.056747,0.06713465,0.5276
LOC440704,0,0,0,0,0,0,0,0,0,0
LOC440895,0,0,0,2.45E-08,0.0202122,0.02430915,0.0372962,8.59E-12,5.93E-17,0
LOC440896,0.04540235,0.0056528,0.1560455,0.07927385,0.00429356,0.0414821,0.0148826,0.0056952,0.0061633,0.02475575
LOC440910,0,0,0.2387895,0.1820025,0.229251,0.357076,0,0.01009655,0,0.0279859
LOC441025,0,0,0,0,0,0,0,0,0,0
LOC441081,0.064288,0.02155635,1.409345,0.623649,0.1857395,0.1517675,0.733009,0.13113175,0.3662065,0.957525
LOC441155,9.94442,4.708535,0.02667735,0.00964355,0.3985075,0.939559,0.7014475,0.1279333,0.309962,1.022252
LOC441178,0.01111045,0.06877705,0.09831565,0.3410785,0.004819565,0.0226607,0.08843515,0.0765667,0.0804584,0.0636414
LOC441204,0.17730375,0.2329585,0.7537185,0.4848665,0.3866775,0.5107835,0.378342,1.342935,0.9014415,0.71803
LOC441242,1.16907,0.874896,2.141325,1.66658,3.300365,3.541395,2.03472,1.345095,0.646466,1.321295
LOC441454,0.378018,0.18171885,0.0952751,0.2252395,0.06286415,0.2125315,0.0780924,0.053766,0.131675,0.0420879
LOC441455,0.192145,0.05490095,1.21559,0.7908715,1.117715,1.33011,0.689842,0.464961,0.213914,0.5144555
LOC441461,0.5498975,1.0434465,0.2364195,0.0996809,0.596223,0.3957815,0,0.216553,0.3249335,0.3886017
LOC441601,16.5908,11.89525,4.417125,6.783065,0,0.0521923,0,0.0379628,0,0
LOC441666,1.437925,0.348039,0.851248,1.0344045,0.812271,1.23459,0.02244815,0.06626665,0.347247,1.28085
LOC442028,0.0215835,0.00401297,0.028992,0.02167805,0.0067207,0.0262122,0.01811655,0.01635509,0.01566545,0
LOC442132,0,0,0.4562,0.442218,0,0,0,0,0,0
LOC442497,0,0.00415368,0,0,0.1456285,0.303693,0.01491335,0.0073746,0,0.016896
LOC493754,5.7801,4.867165,15.4792,15.82745,7.44884,10.15565,13.1948,13.6827,8.94992,8.938035
LOC494127,0,0.0098855,0.1131235,0.0205119,0.8419215,0.852284,0.0985015,0.9125395,0.2958485,1.261955
LOC494141,0.0094205,0,0,0.03871665,0,0,0,0,0,0
LOC541473,0.070081743,3.45E-06,0.110807174,0.032758641,0.4503625,0.5109115,0.2224425,0.1214415,5.35E-06,1.36E-05
LOC54944,1.320475,2.076265,1.43341,0.918377,1.6248,2.024665,1.1369985,0.619672,0.698342,0.4964795
LOC550113,1.28E-08,0,0,1.16E-09,0,0,0,0,0.00666315,0.0109228
LOC550643,86.10265,92.3864,22.6293,9.99956,57.57995,54.30325,24.29735,34.01,76.665,51.8039
LOC553103,0.1420395,0.08355155,0.446917,0.896319,0.10229275,0.0460104,0.03709365,0.0763382,0.04292855,0.123673
LOC554206,1.59994,1.0297225,1.91318,1.81779,1.771475,1.2753,0.7989145,0.3675695,0.9101665,0.738832
LOC554223,0.151767,0.017204362,0.06707685,0.0680856,3.31E-05,0,0,0.0288635,5.42E-07,0.020088119
LOC574538,0,0,0.0194113,0.01784155,0,0.004373975,0,0.0108266,0,0.0075047
LOC606724,0.8453985,0.2662945,14.387,9.574165,1.41885,1.20896,2.22461,3.22905,7.503805,10.3096
LOC613037,1.284215,0.3563415,1.0002985,0.548296,0.9582545,1.068685,0.5958845,0.519234,0.3683925,1.64366
LOC613038,0.0085803,0.0091838,0.01485915,0.04947145,0.02666025,0.0090696,0.0165194,0.1040852,0.07092405,0.08136955
LOC63930,0,0,0.01107375,0,0,0.01075215,0.01224515,0,3.70E-08,0
LOC641367,0.04673775,0.01310375,0.03486565,0.02069805,0.00451705,0.0632198,0.00820815,0.10478755,0.0386412,0.0242363
LOC641515,0,0,0.02484925,0.0072641,0.01183487,0.02829495,0.0145624,0.00694975,0.00599205,0
LOC641746,0,0,0,0,0,0.01649135,0,0,0,0
LOC642236,2.27797,1.39655,1.840635,2.027885,1.66443,1.981265,1.012941,1.0415215,0.245348,0.7244015
LOC642361,5.95688,6.110585,5.46927,4.521595,5.948405,4.11863,5.79171,6.59804,6.24747,4.98063
LOC642366,0.898009,0.708185,0.01780035,0.0185449,0.347161,0.2844265,0,0,0.00260815,0.004709175
LOC642423,0.182733807,0.023326471,4.94E-07,5.14E-05,0,7.98E-09,8.35E-07,2.84E-05,2.84E-06,3.18E-06
LOC642426,0.01437145,0,0,0,0,0,0,0,0,0
LOC642846,1.86209,0.9478595,3.40765,2.8381,1.499705,2.64561,4.443235,3.40419,2.76222,5.531095
LOC642852,4.586155,3.3927,3.13116,2.859415,6.799845,10.97545,2.391545,1.90919,1.70399,2.27134
LOC642929,0,0,0,0,0,0,0,0,0,0
LOC642943,0,0,0,0,0.002068465,0.006440935,0,0,0,0
LOC643072,1.1016915,0.572673,0.901659,0.5462235,3.159555,5.720365,7.981355,6.22969,1.2113,0.77532
LOC643201,0.002958355,0,0.0520287,0.03348635,0.009674655,0.011633265,0.1200115,0.0589615,0.0075253,0.01621831
LOC643339,12.8699,3.84384,0.3347115,0.632609,0.282895,0.2980465,0.0467938,0.144682,0.0355691,0.2682452
LOC643355,0,0,0.05423395,0.0656939,0,0.01704,0,0.0314832,0.03639125,0.0744897
LOC643387,0.0402018,0.0074589,0.0736603,0.0290169,0.03237554,0,0.02497555,0.04596225,0.0336522,0.0128678
LOC643406,0.286871,0.0839904,0.3551905,0.3477715,0.10038535,0.149674,0.157474,0.147281,0.10564195,0.199386
LOC643441,0,0,0,0,0,0.02048775,0,0,0,0
LOC643486,0,0,0.021251,0.04966175,0,0,0,0,0,0
LOC643542,0,0,0,0.00948345,0.00780795,0,0,0.0122548,0.01570845,0.01306428
LOC643623,0,0,0,0.0063602,0.020080415,0.01523805,0,0,0,0
LOC643711,0,0,0.02911235,0,0,0,0,0,0,0
LOC643733,0.6871555,0.548962,4.87477,5.244875,0.1890605,1.05686,0.6589485,1.5978,3.97179,3.916245
LOC643770,0.0122595,0.0278842,0.066796,0.07070625,0.0884424,0.205533,0.1737265,0.298742,0.0467454,0.0627969
LOC643802,0,0,0.0131878,0,0,0.03288845,0.0438495,0.01127855,0.01136705,0.12007695
LOC643923,0,0,0,0.0255252,0.0140087,0.01789665,0,0,0,0
LOC644050,0,0,0.0088078,0.0137885,0,0,0.00997585,0.08262185,0,0
LOC644145,0,0,0,0,0,0,0,0,0,0
LOC644172,0.0106925,0,0.00918555,0,0,0,0,0,0,0
LOC644189,0.75286,0.641178,0.412265,0.7316375,0.1881795,0.236713,0.0137876,0.09427235,0.09551255,0.1818584
LOC644554,2.713015,4.372945,0.09428385,1.0109965,0.02232905,0.041034,0.1433525,0.1656175,0.1708155,0.0378711
LOC644656,2.82641,0.295186,3.9535,2.54571,1.119865,2.37819,0.887461,0.5634515,0.932952,1.35495
LOC644669,0,0,0,0,0,0,0,0,0,0
LOC644762,0.01082485,0.03588085,0.0256171,0.5143015,0.00805745,0.0840816,0.07382955,0.249677,0,0.01112585
LOC644838,0,0,0,0,0,0.00887015,0,0,0,0
LOC644919,9.006125,13.4539,1.59057,2.326965,0,0.20007,0,0,0.1823636,0
LOC644936,0.0425725,0.0602989,0.1332136,0.1647715,0.0270097,0.05280465,0,0.2127195,0.270786,0.184387
LOC644961,0.3106915,0.203103,0.1855315,0.1923735,0.2336845,0.3388115,0.405259,0.499328,0.148721,0.274339
LOC645166,2.543525,1.873015,3.360175,3.726935,8.11464,6.6636,3.089245,5.91359,10.3328,7.811735
LOC645354,0,0,0,0,0,0,0,0,0,0
LOC645355,0,0,0,0,0,0,0,0,0,0
LOC645382,0,0,0,0,0,0,0,0,0,0
LOC645434,0,0,0,0.0729584,0,0,0,0.0219892,0,0.0182186
LOC645513,7.89825,7.58905,2.715855,1.87457,1.732755,2.404825,2.08503,2.413525,1.80225,1.97731
LOC645638,0.2212905,0.0350355,0.6910025,0.387624,0.02762005,0.06503595,0.0516465,0.04656545,0.4083485,0.2331075
LOC645752,0,0,0.0285847,0.01997915,0.014678205,0.021191,0.0481149,0.0456691,0.00964364,0.0112939
LOC645949,1.14747,0.12691365,0.1060565,0.7023225,0.0117963,0.0079354,0.0211829,0,0.00814115,0
LOC646214,1.389405,0.178514,0.457431,0.3248925,0.8594655,1.833895,0.5777125,0.5528825,0.163412,0.370746
LOC646268,0.01956985,0.2245075,0.185705,0.244812,0.083698,0.0195969,0.7294915,0.590865,0.3343965,0.199524
LOC646471,1.08832,0.1682025,0.996342,0.937164,0.7731495,1.15746,1.639765,0.9200535,0.296296,0.822388
LOC646522,0,0,0,0,0.028948,0,0,0,0,0
LOC646626,1.25303,1.0798325,0.661896,0.7245425,0.8189545,1.586835,0.9718865,1.362695,1.12888,0.8376685
LOC646719,2.6101,1.030862,5.619555,4.31963,4.70953,5.58611,4.43933,3.82241,1.546615,2.38151
LOC646736,0,0,0,0,0,0,0,0,0,0
LOC646743,0,0,0,0,0,0,0,0,0,0
LOC646762,3.007575,2.542985,7.42549,7.218375,6.92675,6.839245,0.937909,0.9719255,2.601625,3.71695
LOC646813,0,0,0,0,0,0,0,0,0,0
LOC646862,0,0.0292419,0,0,0.02908255,0,0,0,0,0
LOC646903,0.993681,0.3223525,2.0308,1.677415,0.9833965,0.5393435,0.3316945,0.2717065,0.2842255,0.6222485
LOC646938,0.505101,0.095572,0.5006165,0.1697765,0.1165585,0.12881835,0.622046,0.254166,0.288773,0.500595
LOC647323,0.02243255,0,0.07950265,0.0543687,0.07736415,0.1564254,0.260935,0.24311,0,0.02338055
LOC647859,1.197225,0.3444005,1.11784,1.20035,0.2880715,0.346837,0.658611,0.6623975,0.4755985,1.146131
LOC648691,0.0532379,0.04044165,0.180468,0.287347,0.7125785,1.029306,1.046199,0.483614,0.04413185,0.04612875
LOC648987,5.69527,3.66973,3.529335,2.28891,1.33889,1.39554,6.26064,4.26097,3.22039,3.63296
LOC649133,0,0,0,0,0,0,0.00842695,0,0,0
LOC649324,0,0,0,0,0,0,0,0,0,0
LOC649330,0.0449861,0.03174745,0.04046625,0.025877188,0.0956468,0.07149335,0.11217815,0.016118,0.0182959,0
LOC649352,0,0,0,0,0,0,0,0,0,0
LOC650226,0.017073,0.02729085,0.00977195,0,0.00578265,0,0,0,0,0
LOC650293,0,0,0,0,0.0578515,0,0.0530055,0,0,0.0426222
LOC650368,0.06244,0,0.1800095,0.138834,0.1074942,0.238867,0.1210442,0.6924785,0.767206,0.330637
LOC652276,5.027785,3.62987,2.660235,2.378155,3.354125,3.45561,6.29009,3.22148,2.10543,3.640255
LOC653160,0.2175405,0.04190335,1.187665,0.6504295,0.214961,0.4325505,0.593311,1.33482,0.608354,0.8874875
LOC653486,0,0,0,0,0,0,0,0,0.078999,0
LOC653513,1.17436,0.948413,3.414415,2.68458,1.318425,0.9413865,3.80303,3.14732,3.3035,8.2174
LOC653602,0.09553475,0.0804131,0.1463645,0.03754625,1.21048,0.809724,0.220305,0.538332,1.0014235,0.768413
LOC653653,0.1900615,0.1429473,0.0210095,0.1488465,0.4256965,0.4419605,1.133665,0.07709955,0,0.0166981
LOC653712,0.316747,0.5113015,1.177785,1.749105,1.325275,1.176722,0.696697,0.915983,0.5398495,0.331552
LOC653786,0.10034995,0.10494515,0.2987645,0.3406935,0.787397,0.617179,0.0669729,0.323478,0.6232535,2.53117
LOC654342,2.641725,2.474025,2.6082,2.607635,3.29736,4.29127,1.247735,4.241245,6.504025,3.411125
LOC654841,0.5280875,0.3327495,0.343657,0.3084915,0.451082,0.873274,0.2341285,0.187893,0.172991,0.0826652
LOC727751,0.00374139,0,0,0,0,0,0,0,0,0.00808465
LOC727896,0.08188335,0.07802265,0.1133935,0.0403599,0.05869045,0.12023535,0.00631905,0.04351315,0.04887535,0.09012605
LOC727924,1.52E-08,8.53E-06,0,0,0,0,0,0,0,0
LOC728024,0.7594245,0.496017,1.053638,1.54632,0.072338,0.0932156,2.731235,1.593595,1.005018,1.933685
LOC728040,0,0,0,0,0,0,0,0,0,0
LOC728084,0.720564,0.06042315,0.01602445,0.01465605,0.1842375,0.6885455,1.45799,0.195065,0.1912465,0.01944405
LOC728175,0.0081421,0,0.0101573,0,0.0132581,0.0561675,0,0.02836095,0.00962805,0.0188644
LOC728228,0.051616,0.02984975,0.07585935,0.0529845,0.02359795,0.02686475,0,0.0673555,0,0
LOC728323,1.535205,1.507545,0.600046,0.384673,0.964065,1.42346,0.694814,0.4928625,0.3975135,0.4944365
LOC728392,2.760865,5.92297,14.62895,8.554855,10.75015,3.823645,3.921215,3.478685,4.05797,4.291475
LOC728463,0,0,0.598753,0.1973505,0.03105585,0.0371245,0,0,0,0
LOC728554,8.78759,13.73105,14.36255,19.75265,14.68695,13.95485,6.286985,4.87036,18.96685,18.7626
LOC728613,2.80176,2.75361,2.399085,2.172525,2.95734,3.452375,1.70591,1.28146,1.990875,2.084365
LOC728637,0.01114435,0,0.04134045,0.08575625,0.03319335,0.1177417,0.0607809,0.10855245,0.181233,0.08731135
LOC728730,14.5456,5.42961,0.494265,0.723167,0.4107835,0.367724,1.22545,1.33591,1.363985,1.231855
LOC728739,0,0.0956885,1.547055,1.30602,0.1291992,0.02932485,0,0.2332045,0.152008,0.39653
LOC728743,2.401785,1.28596,4.61604,3.763795,0.5582505,0.994573,2.145975,1.975155,2.684625,3.68691
LOC728752,2.55531,1.914205,1.629785,0.987581,3.19093,3.66908,2.076725,0.7819325,0.8509555,0.815539
