,Pt1-OnTx,Pt1-baseline,Pt2-OnTx,Pt2-baseline,Pt3-OnTx,Pt3-baseline,Pt4-OnTx,Pt4-baseline,Pt5-OnTx,Pt5-baseline
CAPN12,8.577995,7.741585,18.313,9.76443,10.8983,12.49085,15.74375,18.4893,17.61475,20.32205
CAPN13,0.004714205,0,0.0136239,0.0546769,0.02874515,0.0466681,0,0,0,0.00761385
CAPN14,0.3609075,0.261537,1.16289,2.18361,0.3846005,0.180764,0,0.02044255,0.0377078,0.017821115
CAPN15,8.67078,6.42098,10.88535,9.443915,10.69555,8.22435,11.747,12.98455,14.618,26.44695
CAPN2,240.6525,197.5185,60.51295,64.11535,56.53815,64.9306,71.9269,73.71355,56.91495,38.70865
CAPN3,152.386,309.901,95.66625,102.263,12.2532,3.00066,159.3135,29.4498,149.673,85.2529
CAPN5,15.0297,11.6101,5.42898,3.680625,17.6711,8.72121,16.59895,14.68345,6.575965,6.83947
CAPN6,0,0,0.2335735,0.01745705,0.04795545,0.403318,2.9868,0.12071265,0.0601876,0
CAPN7,11.48735,12.3786,10.8148,9.502195,8.210325,9.36579,7.239035,7.6589,5.988955,5.30517
CAPN8,0.02915075,0.04394315,0.0176226,0.0236924,0.02020525,0.05826135,0.009173,0.01388255,0,0.0298315
CAPN9,0,0.00560575,0.2792035,0.2262245,0.0267782,0.04147175,0.5805925,0.09495915,0.0497128,0.05180565
CAPNS1,257.505,215.1965,237.393,140.154,138.885,134.0345,134.942,245.188,225.2355,142.655
CAPNS2,0.881544,0.549559,0.04318945,0.1197155,0.0520767,0.0489788,0.0240933,0.0706125,0.173719,0.0617969
CAPRIN1,73.71305,96.12585,40.05975,33.5176,56.4522,74.56665,43.6477,41.1217,33.1975,23.6781
CAPRIN2,5.029645,1.98695,4.853035,4.614335,7.83177,10.88235,8.166365,9.47499,2.881675,4.027865
CAPS,0.9767435,0.926595,11.01105,11.21785,823.586,561.5425,48.35645,51.55225,3.158,8.18468
CAPS2,0.3492205,0.2763625,0.254399,0.330312,0.346731,0.753678,0.680962,0.6402145,0.07415055,0.212859
CAPSL,0.01469,0,0,0,0.01157305,0,0,0.0160582,0.0347904,0
CAPZA1,65.3583,58.7287,67.29555,58.0457,52.56455,66.0477,87.85645,86.42255,60.4289,73.01685
CAPZA2,36.86575,31.2464,66.72985,107.344,31.4054,48.05585,87.5562,132.1275,52.3821,70.3531
CAPZA3,0,0,0,0,0,0,0,0,0,0
CAPZB,121.3575,145.4345,159.6675,115.9075,83.91915,88.3968,84.8745,128.457,189.8105,132.1745
CARD10,0.2916695,0.9352495,1.83043,1.061678,0.8314695,0.917859,1.0252215,2.17989,6.57098,1.99524
CARD11,0.2161585,0.1181235,2.27496,1.24136,0.2473805,0.175308,0.175844,0.7902255,0.7148455,2.117015
CARD14,0.930685,0.54026,1.62966,2.0042,1.62965,0.8210095,1.0040435,0.947144,0.9765565,1.40475
CARD16,41.54735,13.3749,25.94525,20.27885,1.574915,4.026705,43.85165,10.50816,29.87035,13.33345
CARD17,0.2118955,0.0502505,0.224423,0.065856,0,0,0.0700115,0.0607435,0,0.2212915
CARD18,0,0,0.03647325,0,0,0,0,0,0.0356471,0
CARD6,7.0832,4.98738,2.28885,1.33987,2.40654,2.3355,3.519,3.376785,4.46519,4.18597
CARD8,18.7437,14.75695,10.366055,6.821795,5.19252,6.297845,11.3219,12.5921,9.84932,9.317145
CARD9,0.3883665,0.0810064,6.26356,2.755825,14.05825,7.68982,4.209535,5.93165,3.476945,3.993675
CARF,1.056145,0.689413,0.7916145,0.888846,1.92755,3.579035,1.232405,1.620565,0.3624095,0.436118
CARHSP1,20.8117,22.34255,8.39719,5.46944,21.30735,25.22,19.698,16.10905,35.6959,18.52705
CARKD,29.27705,24.8965,18.53915,17.3166,11.80165,10.7448,10.384735,11.4001,16.26465,11.9283
CARM1,31.1559,36.1908,30.2992,26.82285,29.15665,24.94755,15.63055,18.95115,28.1975,21.9447
CARNS1,0.06979805,0.03276905,0.598631,0.2695625,2.2598,5.3521,1.78036,2.51991,0.0988502,0.3594635
CARS,25.40985,21.00785,24.1627,19.48795,21.89335,19.94985,16.42555,19.91465,17.50015,17.2402
CARS2,60.1441,43.6095,30.3002,28.97775,25.4517,24.66125,17.6947,15.62995,27.49675,18.06765
CARTPT,0,0,0,0,0,0,0,0,0,0
CASC1,0.01332735,0.0889286,0.062137,0.1372075,0.08537375,0.11897635,0.0366724,0.05918935,0.0065666,0.03588735
CASC10,1.243265,0.7913535,4.097075,2.865445,0.78487,0.669677,1.69571,1.844735,3.633115,1.506255
CASC11,0.0527298,0.01890905,0.0706919,0.1822845,0.1440895,0.1798025,0.115718,0.08506955,0.06312075,0.0436945
CASC14,0.382163,0.16768,0.4067945,0.4258795,0.187928,0.18276095,0.370377,0.358586,0.06105325,0.1443245
CASC15,3.36733,5.26685,1.0621055,1.324625,0.26483,1.37506,1.50833,1.23244,0.621027,0.657659
CASC16,0,0.0183385,0.1234049,0.16793,0,0,0,0,0,0
CASC17,0,0,0,0,0,0,0,0,0,0
CASC18,0,0,0.05244905,0.05423215,0.009472015,0.00609485,0,0.07628575,0.0138048,0
CASC2,0.1710585,0.36302,0.3967045,0.5517595,0.814479,1.09394,0.634039,0.462953,0.222704,0.3261515
CASC20,0.1403015,0.3652655,0.577033,0.5291925,0.208531,0.04599145,0,0.0145472,0,0
CASC21,0,0.153001,0.04503865,0,0.109205,0,0.1103605,0.068728,0.0423802,0
CASC3,17.3751,21.5395,15.47955,14.03715,29.55855,22.50725,16.2687,17.71485,23.09075,15.9453
CASC4,31.00165,33.75485,21.8402,17.3442,17.95445,25.7979,30.10375,30.8383,16.1565,15.2109
CASC5,0.9789345,2.093235,0.6707725,0.5709015,0.519911,1.331055,3.713935,2.647975,1.281175,0.7584105
CASC6,0,0,0.0317699,0,0,0,0.01283285,0,0,0.0089456
CASC8,0.0097648,0.0108198,0.2490205,0.5725965,0,0,0.0144789,0.0101694,0.03610325,0.0244969
CASC9,0.0840619,0.2011055,0.01295785,0.0113119,0.493675,0.3824015,0.3515805,0,0,0
CASD1,5.932855,5.21717,9.77591,9.10744,12.1815,17.1189,26.6547,20.50795,5.255595,6.044135
CASK,7.13834,7.91225,2.16741,2.133675,7.942775,7.996165,9.741925,4.397705,4.128415,3.41783
CASKIN1,2.515325,3.104895,4.28933,3.742715,4.361515,2.916835,2.58038,2.663685,6.74091,8.97399
CASKIN2,3.411665,4.037615,4.91759,3.058825,6.538905,4.515145,6.294575,6.431375,16.2152,7.25952
CASP1,96.3937,54.0722,23.7044,14.36985,2.0478,2.47527,31.7614,7.34786,56.339,38.7231
CASP10,1.97387,1.96207,1.98029,1.004699,0.2970735,0.4962955,0.7978055,1.33251,2.60148,2.16839
CASP12,0,0.01491925,0.0203242,0.0142171,0,0,0.04582445,0.10201815,0.0138445,0.04270985
CASP14,0,0,0.650235,0,0,0.004083285,0.05286985,0.03435045,0,0.00607935
CASP2,8.280995,9.133055,16.91985,10.563,6.892635,9.97429,42.5979,27.3715,13.34525,15.2787
CASP3,23.65225,26.535,13.9603,14.6281,9.382915,11.3971,14.678,12.77785,17.17865,16.92235
CASP4,53.4824,41.70215,63.20855,38.71045,22.55185,20.9548,32.9619,29.2468,42.5058,42.92885
CASP5,0.460407,0.0165775,0.989205,0.3112855,0.03756645,0.2639565,0.4246445,0.36040435,0.634743,0.697816
CASP6,9.70262,11.1483,4.327755,3.466675,7.6864,4.71195,4.08597,3.475695,7.82909,9.500415
CASP7,18.68895,19.26275,9.36283,7.38237,13.0126,14.3396,21.13305,17.51325,12.21605,11.9739
CASP8,10.5992,10.65025,7.009455,5.47295,12.47035,16.1067,7.797375,7.965005,5.48174,5.11584
CASP8AP2,2.730865,1.115865,2.03494,1.977255,2.218955,3.519505,3.476945,3.01626,1.66903,3.76135
CASP9,4.914945,4.81279,4.40381,3.592875,5.85499,5.196485,8.862315,8.79305,3.74896,3.87516
CASQ1,0.0255019,0.0069415,2.553195,1.55008,0.0322236,0.03766575,0.0396785,0.06625385,0.0705985,1.904345
CASQ2,0.4100065,0.9152535,4.85939,3.63053,0.02826469,0.05455345,1.122205,0.4056775,0.802317,0.3686225
CASR,0,0,0,0,0,0.00253713,0,0,0.003570545,0
CASS4,0.0845926,0.121021,0.8821265,0.3865595,0.1213115,0.1823385,2.704235,4.73469,0.6687845,0.7045425
CAST,63.281,62.32185,35.9217,27.9983,23.2568,31.1068,24.19805,27.97435,26.916,30.88215
CASZ1,0.043739,0.0231576,0.4920985,0.1762915,0.1273217,0.229369,0.2274725,0.3310555,0.8247925,0.7407315
CAT,49.22905,82.2121,23.36245,19.56055,20.2718,17.96415,14.0043,17.004,22.10515,18.82985
CATIP,0.00980195,0.03137435,0.235963,0.07204575,0.018653002,0.0296635,0,0.0578044,0.10729285,0.07978755
CATIP-AS1,0,0,0.9181855,1.658775,1.719435,2.07359,0.912682,0.4522595,0.0837565,0.186144
CATSPER1,4.886455,5.305455,0.2475085,0.192174,0.0891631,0.151883,0.10435315,0.1942405,0.4718645,0.5807855
CATSPER2,0.940257,0.521646,1.017475,0.964354,0.4069025,0.5069075,0.5217795,0.54411,0.410431,0.6231265
CATSPER2P1,0.5554335,0.7096715,0.8120655,0.582298,0.607426,0.5481135,0.407863,0.516703,0.446641,0.215098
CATSPER3,0.203525,0.02498435,0.154821,0.2495785,0.1158664,0.14445565,0.1420925,0.0700507,0.10125905,0.2576715
CATSPER4,0,0,0,0,0,0,0,0,0.0139811,0
CATSPERB,0.00505285,0,0.03244435,0.10678155,0.122524,0.175291,0.835862,0.0894671,0.6265665,0.1591985
CATSPERD,0,0,0.0138976,0.02541835,0.00913055,0,0,0.0160948,0,0.02191405
CATSPERG,0.0868243,0.10794855,0.224771,0.1386345,0.261026,0.164411,0.0347737,0.1064513,0.05937065,0.05501735
CAV1,93.28445,58.117,120.425,62.5013,53.60405,129.747,156.0265,298.618,113.2835,62.89795
